Modules ,Features/Epics,Comments ,Min,Most likely,Maximum ,PERT
Website Desing (Desktop),,,,,,
Moodboard,Optional ,,4,5,6,5
Home page,,,14,16,18,16
Product pages,5 pages,,22,24,26,24
For Surf Shop,,,8,10,12,10
Responsive (Mobile),,,,,,
Home page,,,4,6,8,6
Product pages,5 pages,,10,12,14,12
For Surf Shop,,,4,6,8,6
TOTAL,,,48,58,68,58
Design System,,,,,,
UI Kit Set Up,,,4,6,8,8
TOTAL,,,4,6,8,8
,Total Product Design,,52,64,76,66
,Total BA/PM,,10,13,15,13
,TOTAL PROJECT (hours),,62,77,91,79
,TOTAL PROJECT COST ,,$3 120,$3 840,$4 560,$3 960
