,,,,,,,,,,,,ACTUAL HOURS SPENT,Jul 13-19,Jul 20-26,Jul 27-Aug 02,Aug 3 - 09,Aug 10-16,Aug 17-23,Aug 24-30,Aug 31-Sept6,Sep 7-13,Sep 14-20,Sep 21-27
optimistic (min hours),,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,,Project started: July 15,Week 0,Week 1 ,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10
Design Capacity,56,45,56,56,56,56,56,56,56,56,,Design Capacity ,,,,,,,,,,,
Referrals (list) ,24,20,4,,,,,,,,,Referrals (list) ,19,32,12,1,2,1,,,,,
Create referral flow ,20,,16,4,,,,,,,,Create referral flow ,,,10,9,10,1,,,1,,3
Referral page (layout) + flows ,72,25,36,11,,,,,,,,Referral page (layout) + flows ,,,20,22,30,46,13,,4,,2
Directory ,12,,,12,,,,,,,,Directory ,,,12,6,5,2,1,,,,1
Listings,12,,,,12,,,,,,,Listings,,,,,,1,6,,,,
Upgrades ,20,,,,20,,,,,,,Upgrades ,,,,,,,4,17,4,,1
FAQ + Knowledge base ,,,,,,,,,,,,FAQ + Knowledge base ,,,,,,,,,,,
Notifications ,8,,,,8,,,,,,,Notifications & Alerts ,,,,,3,4,6,,6,2,
Alerts ,8,,,,8,,,,,,,Settings (NEW),,,,,,,9,1,3,,2
Profile ,28,,,28,,,,,,,,Profile ,,,,,,1,15,,3,,
Analytics (on hold) ,22,,,,8,14,,,,,,Analytics ,,,,,,,,,,,
Dashboard (need references) ,18,,,,,18,,,,,,Dashboard ,,,,,,,,,,,4
Sing up/Login/Forgot pass ,16,,,,,16,,,,,,Sing up/Login/Forgot pass ,,,,,,,,,4,9,8
Onboarding ,12,,,,,9,3,,,,,Onboarding ,,,,,,,,,,,
,,,,,,,,,,,,Payment page for PA (NEW) ,,,,,,,,,,,
BA suupport + PM + communicartion,12/w,,,,,,,,,,,Design system,9,,,,,1,,,,,
,,,,,,,,,,,,Prototyping ,,,3,6,3,2,,,6,2,
People (office management) ,,,,,,,,,,,,People (NEW) ,,,,,,,,20,6,2,
Payments ,,,,,,,,,,,,Chat (NEW),,,,,,,,,,18,17
,,,,,,,,,,,,Guest office (NEW),,,,,,,,,,8,
,,,,,,,,,,,,BA work,,,,,,,,,,,
,,,,,,,,,,,,User permissions ,,11,5,,,,,,,,
,,,,,,,,,,,,Info on cards ,,8,,2,,2,,,,,
,,,,,,,,,,,,Filter logic,,,6,,,,,,,,
,,,,,,,,,,,,Filters - Check with clickup and wires ,,4,1,,,,,,,,
,,,,,,,,,,,,Revise state diagram + statuses,10,3,,,,,,,,,
,,,,,,,,,,,,Payment flows,,,,4,2,3,2,3,,,
,,,,,,,,,,,,Admin IA,,,,,,,,,,,11
,,,,,,,,,,,,Communication,,,,,,,,,,,
,,,,,,,,,,,,Demo & calls ,,1,1,1,1,1,2,,2,3,1
,,,,,,,,,,,,"internal team sync (daily or ad hoc), brainstorming",1,,,1,2,3,1,1,1,2,3
,,,,,,,,,,,,Billed on upwork,39:10:00,59:20:00,70:00:00,51:40:00,56:30:00,67:20:00,59:30:00,42:50:00,46:00:00,51:30:00,59:20:00
,,,,,,,,,,,,,38,59,70,51,56,67,59,42,40,46,53
,,,,,,,,,,,,,,,,*1designer on vacation,*1designer on vacation,,,,,,
,,,,,,,,,,,,Weekly Demo,,Demo of referral lists ,Demo of create referral,Demo of Directory,Demo of Ref details draft,Demo of ref details,,,,,
,,,,,,,,,,,,Milestones,,Ref list,Create ref flow,Directory,Ref details + flow,Ref details + flow,"Listings, Profile, Alerts",,"Upgrades, Sign up, Analytics ",Dashboard,
