,,,,,
About,"Visible — це платформа для управління відносинами з інвесторами, створена для підтримки стартапів та венчурних інвесторів. Вона надає засоби для створення професійних оновлень для інвесторів, відстеження ключових показників ефективності (KPI) та управління процесом залучення капіталу. Завдяки спеціалізованим інструментам, таким як редактор оновлень, сховища даних, спільний доступ до презентацій та панелі моніторингу, засновники можуть ефективно комунікувати зі своїми інвесторами та зацікавленими сторонами. Для інвесторів Visible пропонує можливості моніторингу портфеля, отримання аналітичних даних та автоматизації звітності для партнерів з обмеженою відповідальністю (LP). Платформа також включає функції на базі штучного інтелекту, такі як AI Inbox для перетворення електронних листів на корисну інформацію та AI Updates для спрощення створення оновлень для інвесторів. Завдяки цим інструментам Visible сприяє зміцненню відносин між засновниками та інвесторами, підвищуючи прозорість та ефективність взаємодії.",,,,
,,,,,
Modules ,Features/Epics,Min,Most likely,Maximum ,PERT
Platfrom Design ,,,,,
Design concept ,Moodboard,6,10,12,10
,Platfrom Research and Analysis ,22,24,26,24
,Information Architecture,4,6,8,6
,Low-Fidelity Wireframe,16,18,20,18
Log In & Password Reset,,4,6,8,6
Project Dashboard & Creation,,24,26,28,26
Visible Explore,,40,60,80,60
Mine Existing Data ,,40,80,100,77
Search New Data ,,30,60,80,58
Final Review of Data,,8,16,20,15
Explore & Filter Data ,,30,60,90,60
Cluster,,80,100,120,100
All Cluster View ,,20,40,60,40
Spingboard,,40,50,60,50
Presentation ,,60,80,100,80
Project Crud,,40,50,60,50
TOTAL,,464,686,872,680
Design System,,,,,
Design System,,70,90,100,88
,TOTAL,70,90,100,88
FE work,,,,,
Development work,,300,450,600,450
TOTAL,,300,450,600,450
,Total Product Design ,534,776,972,768
,Total Development,300,450,600,450
,Total BA/PM,267,388,486,384
,TOTAL PROJECT (hours),1226,1795,2285,1782
,TOTAL PROJECT COST ,$61 280,$89 753,$114 240,$89 089
,,,,,
,,,,,
,Team Capacity ,Team Members,Hours a week,,
,UX/UI designer/s,1,36,,
,Developer,1,36,,
,BA/PM ,1,20,,
,,,,,
,Project Timeline ,Min,Most likely,Maximum ,PERT
,Design effort (in weeks) ,15,22,27,21
,Developers effort (in weeks) ,8,13,17,13
,,,,,
,**Communication calculator ,Min,Most likely,Maximum ,PERT
,External communication ,89,129,162,128
,Internal communication ,36,52,65,51
,Total communication ,125,181,227,179
