,UI/UX designer,,,,PM,,,,,,,,
Time estimate,Min,ML,Max,PERT,Min,ML,Max,PERT,,,,,
Discovery phase ,18,25,31,25,52,74,96,74,,,,,
Design audit,17,23,29,23,0,0,0,0,,,,,
Mobile app redesign,96,139,185,140,0,0,0,0,,,,,
User Testing,10,14,19,14,10,14,19,14,,,,,
DesOps,38,52,71,53,0,0,0,0,,,,,
Documentation,0,0,0,0,0,0,0,0,,,,,
PM effort ,0,0,0,0,45,63,84,64,,,,,
Total,179,253,335,255,62,89,115,89,,,,,
,,,,,,,,,,,,,
,Hours per week,Weeks,,,,,,,,,,,
Team capacity (weeks),,Min,ML,Max,PERT,,,,,,,,
UX/UI designer ,36,5,7,9,7,,,,,,,,
PM,20,3,4,6,4,,,,,,,,
PM effort,10,4,6,8,6,,,,,,,,
,,,,,,,,,,,,,
,Hours per week,,,,,,,,,,,,
Design Support during Development,Min,ML,Max,PERT,,,,,,,,,
UX/UI designer,2,4,6,4,,,,,,,,,
PM,4,5,6,6,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ROADMAP ,,,,,,,,,,,,,
,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Discovery phase,,,,,,,,,,,,,
"competitors research, user research, user flows, informational architecture",,,,,,,,,,,,,
,,,,,,,,,,,,,
Design audit,,,,,,,,,,,,,
Design audit and presentation,,,,,,,,,,,,,
DesOps,,,,,,,,,,,,,
"UI Concept, Wireframes",,,,,,,,,,,,,
Design System,,,ongoing process,,,,,,,,,,
Mobile app design,,,,,,,,,,,,,
Mobile app redesign,,,,,,,,,,,,,
Design refinement (optional),,,,,,,,,,,,,
User Testing,,,,,,,,,,,,,
User testing+testing report,,,,,,,,,,,,,
,,,,,,,,,,,,,
Management,,,,,,,,,,,,,
Management,,ongoing process,,,,,,,,,,,
